TransactionID,Date,CustomerID,ProductCategory,Quantity,UnitPrice,PaymentMethod,Region
1001,2026-08-01,CUS-101,Electronics,2,150.00,Credit Card,North
1002,2026-08-01,CUS-102,Clothing,5,25.50,UPI,West
1003,2026-08-02,CUS-103,Electronics,1,1200.00,Credit Card,South
1004,2026-08-02,CUS-101,Home & Kitchen,3,45.00,UPI,North
1005,2026-08-03,CUS-104,Clothing,,30.00,Net Banking,East
1006,2026-08-03,CUS-105,Electronics,1,800.00,Credit Card,West
1007,2026-08-04,CUS-102,Home & Kitchen,2,60.00,UPI,West
1008,2026-08-04,CUS-106,Books,4,15.00,Debit Card,South
1009,2026-08-05,CUS-103,Electronics,2,300.00,Credit Card,South
1010,2026-08-05,CUS-107,Clothing,1,75.00,UPI,North
